연도,사고다발지ID,주소,발생빈도,위도,경도,구,동
2013,2013097,대구광역시 북구 읍내동(개미카부분정비 부근),3,35.94547299,128.5502965,북구,읍내동
2013,2013097,대구광역시 북구 대현동(도원식품 부근),4,35.8839509,128.608387,북구,대현동
2013,2013097,대구광역시 북구 동천동(칠곡2차보성서한타운 부근),4,35.93255676,128.5581853,북구,동천동
2013,2013097,대구광역시 수성구 수성동4가(수성보성타운 부근),3,35.86238404,128.6147963,수성구,수성동4가
2013,2013097,대구광역시 수성구 범어동(수한마루입시학원 부근),3,35.85496619,128.6386804,수성구,범어동
2013,2013097,대구광역시 수성구 사월동(사월보성2차앞 부근),3,35.84073685,128.714093,수성구,사월동
2013,2013097,대구광역시 수성구 지산동(범어네거리서편 부근),5,35.8238341,128.6347907,수성구,지산동
2013,2013097,대구광역시 달서구 진천동(월배지구대 부근),3,35.81507605,128.5274399,달서구,진천동
2013,2013097,대구광역시 달서구 본동(세강병원북편 부근),3,35.83890207,128.5531748,달서구,본동
2013,2013097,대구광역시 달서구 이곡동(성서우방동편 부근),3,35.8550703,128.5098754,달서구,이곡동
2013,2013097,대구광역시 달서구 감삼동(원화여고 부근),3,35.85023031,128.5453277,달서구,감삼동
2013,2013097,대구광역시 달서구 월성동(월성주공4단지 부근),4,35.8342667,128.5320393,달서구,월성동
2013,2013097,대구광역시 달서구 월성동(제이와이아이엔씨 부근),4,35.82953637,128.526838,달서구,월성동
2013,2013097,대구광역시 달서구 이곡동(성서동서서한아파트 부근),4,35.85801548,128.5032349,달서구,이곡동
2013,2013097,대구광역시 달서구 상인동(꼬꼬마놀이방 부근),4,35.81094001,128.5368262,달서구,상인동
2013,2013097,대구광역시 달성군 논공읍(대신빌딩 부근),4,35.72930354,128.4452119,달성구,논공읍
2014,2014110,대구광역시 서구 평리동(서도문구서점 부근),3,35.86615675,128.5649823,서구,평리동
2014,2014110,대구광역시 남구 봉덕동(봉덕네거리 부근),3,35.84028109,128.5982524,남구,봉덕동
2014,2014110,대구광역시 북구 읍내동(대천초등교 부근),3,35.93750399,128.553999,북구,읍내동
2014,2014110,대구광역시 수성구 신매동(사월화성파크드림 부근),3,35.83504404,128.715908,수성구,신매동
2014,2014110,대구광역시 달서구 월성동(학산남네거리 부근),4,35.82210622,128.5311526,달서구,월성동
2014,2014110,대구광역시 달서구 상인동(화성파크드림 부근),3,35.82130351,128.5470397,달서구,상인동
2014,2014110,대구광역시 달서구 신당동(성서주공네거리 부근),3,35.85561043,128.4945267,달서구,신당동
2015,2015049,대구광역시 서구 내당동(KOR K-2 총판 부근),4,35.86527099,128.5640544,서구,내당동
2015,2015049,대구광역시 북구 서변동(월드메르디앙 부근),3,35.91902265,128.5970317,북구,서변동
2015,2015049,대구광역시 북구 동천동(지캠프 부근),3,35.94180833,128.5610743,북구,동천동
2015,2015049,대구광역시 달서구 상인동(상인대성스카이렉스 부근),6,35.8183476,128.5333349,달서구,상인동
2015,2015049,대구광역시 달서구 상인동 대구월서초등학교 부근,4,35.82212667,128.5316156,달서구,상인동
2015,2015049,대구광역시 달서구 대천동(현대부품남부대리점 부근),3,35.81715576,128.5228679,달서구,대천동
2015,2015049,대구광역시 달서구 월성동(구두수선 부근),3,35.83166732,128.5312766,달서구,월성동
2015,2015049,대구광역시 달성군 논공읍(신소희헤어 부근),3,35.73097263,128.4408293,달성구,논공읍
2016,2016044,대구광역시 서구 평리동(석윤덕대서소 부근),3,35.87189971,128.5598862,서구,평리동
2016,2016044,대구광역시 남구 대명동(개나리상가 부근),3,35.83938723,128.5700764,남구,대명동
2016,2016044,대구광역시 북구 태전동(마니타바이크 부근),3,35.91348552,128.5427527,북구,태전동
2016,2016044,대구광역시 북구 동천동(화성센트럴파크 부근),3,35.93665005,128.561421,북구,동천동
2016,2016044,대구광역시 수성구 만촌동((주)구남산업 부근),4,35.86500525,128.6403383,수성구,만촌동
2016,2016044,대구광역시 수성구 범물동(우방동서청아타운201동앞 부근),4,35.81726942,128.6401422,수성구,범물동
2016,2016044,대구광역시 달서구 상인동(월성삼성래미안 부근),3,35.8207549,128.52862,달서구,상인동
2016,2016044,대구광역시 달서구 이곡동(대구지방조달청 부근),3,35.85534666,128.5118279,달서구,이곡동
2017,2017027,대구광역시 중구 공평동(동성로교회 부근),3,35.86874604,128.5981696,중구,공평동
2017,2017027,대구광역시 달서구 월성동(월서초교 부근),4,35.82109859,128.531594,달서구,월성동
2017,2017027,대구광역시 달서구 월성동(농로네거리 부근),3,35.82470046,128.5261545,달서구,월성동
2018,2018028,대구광역시 서구 평리동(서대구전화국사거리 부근),4,35.87259074,128.5629445,서구,평리동
2018,2018028,대구광역시 서구 평리동(대우푸르지오1단지아파트입구 부근),3,35.86980988,128.5593835,서구,평리동
2018,2018028,대구광역시 남구 봉덕동(봉덕초교 부근),4,35.83977595,128.5983875,남구,봉덕동
2018,2018028,대구광역시 북구 동천동(함지초교 부근),6,35.93377939,128.5576449,북구,동천동
2018,2018028,대구광역시 북구 동천동(영남네오빌아트103동 부근),3,35.94064328,128.5601739,북구,동천동
2018,2018028,대구광역시 수성구 두산동(대구수성SK리더스뷰아파트입구 부근),3,35.83768579,128.6223758,수성구,두산동
2018,2018028,대구광역시 수성구 지산동(에덴테마어린이공원 부근),3,35.82118248,128.6323556,수성구,지산동
2018,2018028,대구광역시 수성구 파동(서민할매식당 부근),3,35.82548635,128.6108679,수성구,파동
2018,2018028,대구광역시 수성구 만촌동(대청초교 부근),3,35.85065802,128.6520371,수성구,만촌동
2019,2019035,대구광역시 서구 내당동(감삼공원 부근),3,35.85895007,128.5510088,서구,내당동
2019,2019035,대구광역시 달서구 상인동(대구월서초교 부근),3,35.82180764,128.5309694,달서구,상인동
2019,2019035,대구광역시 달서구 성당동(본리동우체국 부근),3,35.84122551,128.5447735,달서구,성당동
2020,2020016,대구광역시 북구 복현동(금강목욕탕 부근),3,35.89983715,128.6208692,북구,복현동
2020,2020016,대구광역시 북구 침산동(대구달산초교 부근),3,35.88768867,128.5860372,북구,침산동
2020,2020016,대구광역시 북구 서변동(서변근린공원 부근),3,35.92108939,128.5949904,북구,서변동
2020,2020016,대구광역시 수성구 매호동(대구시지초교 부근),3,35.84459658,128.7035478,수성구,매호동
2020,2020016,대구광역시 수성구 만촌동(달구벌대로2672 부근),3,35.85457014,128.651507,수성구,만촌동
2020,2020016,대구광역시 달서구 유천동(만촌종합시장 부근),3,35.81772533,128.5183072,달서구,유천동
2020,2020016,대구광역시 달서구 신당동(성서주공네거리 부근),3,35.85571039,128.4949398,달서구,신당동
2020,2020016,대구광역시 달서구 상인동(상인자이아파트 부근),3,35.82050794,128.5307538,달서구,상인동
